    Step    Atoms         KinEng            rke         Volume 
  208500    41676   0.0093445093   0.0011443317         0.0051 
  208600    41676   0.0098511341   0.0011125243         0.0051 
  208700    41676   0.0085555099   0.0011698859         0.0051 
  208800    41676   0.0084052113     0.00113433         0.0051 
  208900    41676   0.0080565598    0.001162341         0.0051 
  209000    41676   0.0092552574   0.0012069938         0.0051 
  209100    41676   0.0090933602   0.0012067548         0.0051 
  209200    41676   0.0084911022   0.0012799715         0.0051 
  209300    41676   0.0075146798   0.0012731729         0.0051 
  209400    41676   0.0068575467    0.001246279         0.0051 
  209500    41676   0.0051685247   0.0012817836         0.0051 
  209600    41676   0.0058222111   0.0012654237         0.0051 
  209700    41676   0.0058006595    0.001267093         0.0051 
  209800    41676   0.0061467439   0.0012504051         0.0051 
  209900    41676    0.006529136    0.001289376         0.0051 
  210000    41676     0.00715105   0.0012844216         0.0051 
  210100    41708   0.0081104383   0.0012579822         0.0051 
  210200    41707   0.0085662214   0.0013132704         0.0051 
  210300    41707    0.010047664   0.0012998641         0.0051 
  210400    41707    0.011625697   0.0013019483         0.0051 
  210500    41707    0.014082571   0.0013077781         0.0051 
  210600    41707    0.011893057   0.0013771635         0.0051 
  210700    41707    0.010720355   0.0013559139         0.0051 
  210800    41707    0.011039006   0.0013790635         0.0051 
  210900    41707    0.010084249   0.0013622891         0.0051 
  211000    41707    0.010989281   0.0013367609         0.0051 
  211100    41707     0.01051513   0.0012873857         0.0051 
  211200    41707   0.0086800127   0.0012879858         0.0051 
  211300    41707   0.0095006202    0.001280576         0.0051 
  211400    41707   0.0090176567    0.001271364         0.0051 
  211500    41707   0.0091401703   0.0012462957         0.0051 
  211600    41707   0.0088181408   0.0012684143         0.0051 
